,timestamp,Humidity,Temperature,Motion,AmbianceLevel,AmbianceType
302,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
303,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
304,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
305,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
306,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
307,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
308,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
309,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
310,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
311,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
312,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
313,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
314,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
315,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
316,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
317,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
318,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
319,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
320,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
321,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
322,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
323,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
324,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
325,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
326,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
327,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
328,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
329,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
330,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
331,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
332,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
333,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
334,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
335,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
336,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
337,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
338,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
339,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
340,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
341,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
342,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
343,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
344,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
345,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
346,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
347,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
348,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
349,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
350,Thu Feb 25 22:21:54 2021,61.0,21.0,1,50,1
